testnumber,first_render_frame_time
1,193
2,146
3,260
4,175
5,142
6,125
7,149
8,173
9,154
10,181
11,168
12,228
13,138
14,145
15,140
16,154
17,150
18,167
19,149
20,157
21,155
22,131
23,140
24,854
25,85
26,192
27,177
28,155
29,182
30,162
31,174
32,158
33,148
34,147
35,175
36,159
37,177
38,155
39,111
40,168
41,142
42,85
43,144
44,305
45,165
46,138
47,159
48,213
49,175
50,145
51,160
52,199
53,182
54,156
55,204
56,160
57,100
58,134
59,80
60,149
61,184
62,90
63,145
64,93
65,147
66,86
67,159
68,132
69,167
70,162
71,138
72,141
73,138
74,83
75,178
76,221
77,192
78,183
79,174
80,232
81,130
82,163
83,120
84,86
85,88
86,150
87,150
88,163
89,137
90,143
91,171
92,166
93,151
94,124
95,147
96,142
97,113
98,96
99,220
100,127
101,228
102,432
103,92
104,185
105,159
106,141
107,264
108,133
109,87
110,173
111,168
112,138
113,188
114,175
115,143
116,138
117,166
118,172
119,148
120,161
121,135
122,150
123,143
124,146
125,220
126,143
127,153
128,136
129,1429
130,168
131,171
132,184
133,131
134,89
135,145
136,198
137,178
138,186
139,89
140,133
141,176
142,161
143,137
144,88
145,143
146,160
147,197
148,130
149,159
150,144
151,220
152,159
153,141
154,139
155,126
156,140
157,174
158,143
159,221
160,139
161,175
162,134
163,160
164,195
165,136
166,493
167,131
168,180
169,218
170,83
171,104
172,125
173,138
174,148
175,94
176,155
177,185
178,144
179,153
180,139
